Date,Fournisseur,N°Facture,Variante Code/Nomen,Annotation,quantité,Prix unitaire HT,Taux TVA,Immobilisé
2019-01-31,TERRILACTI,201901502660,loc_tank_lait,service,"5,537",3,20,
2019-01-31,TERRILACTI,201901502660,milk_taxe,fees,"5,537","0,3",20,
2019-02-28,TERRILACTI,201902502660,loc_tank_lait,service,"5,031","2,99",20,
2019-02-28,TERRILACTI,201902502660,milk_taxe,fees,"5,031","0,3",20,
2019-03-31,TERRILACTI,201903502660,loc_tank_lait,service,"7,309",3,20,
2019-03-31,TERRILACTI,201903502660,milk_taxe,fees,"7,309","0,3",20,
2019-04-30,TERRILACTI,201904502660,loc_tank_lait,service,"8,495",3,20,
2019-04-30,TERRILACTI,201904502660,milk_taxe,fees,"8,495","0,3",20,
2019-05-31,TERRILACTI,201905502660,loc_tank_lait,service,"8,962",3,20,
2019-05-31,TERRILACTI,201905502660,milk_taxe,fees,"8,962","0,3",20,
2019-06-30,TERRILACTI,201906502660,loc_tank_lait,service,"6,312",3,20,
2019-06-30,TERRILACTI,201906502660,milk_taxe,fees,"6,312","0,3",20,
2019-07-31,TERRILACTI,201907502660,loc_tank_lait,service,"5,103",3,20,
2019-07-31,TERRILACTI,201907502660,milk_taxe,fees,"5,103","0,3",20,
2019-08-31,TERRILACTI,201908502660,loc_tank_lait,service,"6,899",3,20,
2019-08-31,TERRILACTI,201908502660,milk_taxe,fees,"6,899","0,3",20,
2019-09-30,TERRILACTI,201909502660,loc_tank_lait,service,"7,579",3,20,
2019-09-30,TERRILACTI,201909502660,milk_taxe,fees,"7,579","0,3",20,
2020-01-15,EDF,2020EDF,electricite,service,1,200,20,
2020-01-25,CREDIT QUI BRICOLE,2020FB,frais_bancaires,service,1,50,20,
2020-02-15,DELTI SUD,2020DT,frais_reparation,service,1,1580,20,
2020-03-15,GROUPETTO,2020ASS,ass_rc,service,1,2500,20,
2020-03-15,GROUPETTO,2020ASS,ass_mat,service,1,5400,20,
2020-03-15,GROUPETTO,2020ASS,ass_bat,service,1,1500,20,
2020-01-15,BLEU,2020INT,abonnement_internet,service,1,30,20,
