Date,Tiers,Reference,variant_nomen,quantité,Prix unitaire HT,Taux TVA,Description
2019-01-31,TERRILACTI,2019015026600,lait_vache,5537,"0,294317","5,5",Lait Janvier 2019
2019-01-31,TERRILACTI,2019015026600,milk_taxe,"5,537","-0,107",0,Cotisation CNIEL
2019-01-31,TERRILACTI,2019015026600,milk_taxe,"5,537","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-01-31,TERRILACTI,2019015026600,milk_taxe,"5,537","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-02-28,TERRILACTI,2019025026600,lait_vache,5031,"0,316506","5,5",Lait Fevrier 2019
2019-02-28,TERRILACTI,2019025026600,milk_taxe,"5,031","-0,107",0,Cotisation CNIEL
2019-02-28,TERRILACTI,2019025026600,milk_taxe,"5,031","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-02-28,TERRILACTI,2019025026600,milk_taxe,"5,031","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-03-31,TERRILACTI,2019035026600,lait_vache,7309,"0,329031","5,5",Lait Mars 2019
2019-03-31,TERRILACTI,2019035026600,milk_taxe,"7,309","-0,107",0,Cotisation CNIEL
2019-03-31,TERRILACTI,2019035026600,milk_taxe,"7,309","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-03-31,TERRILACTI,2019035026600,milk_taxe,"7,309","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-04-30,TERRILACTI,2019045026600,lait_vache,8495,"0,350088","5,5",Lait Avril 2019
2019-04-30,TERRILACTI,2019045026600,milk_taxe,"8,495","-0,107",0,Cotisation CNIEL
2019-04-30,TERRILACTI,2019045026600,milk_taxe,"8,495","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-04-30,TERRILACTI,2019045026600,milk_taxe,"8,495","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-05-31,TERRILACTI,2019055026600,lait_vache,8962,"0,364959","5,5",Lait Mai 2019
2019-05-31,TERRILACTI,2019055026600,milk_taxe,"8,962","-0,107",0,Cotisation CNIEL
2019-05-31,TERRILACTI,2019055026600,milk_taxe,"8,962","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-05-31,TERRILACTI,2019055026600,milk_taxe,"8,962","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-06-30,TERRILACTI,2019065026600,lait_vache,6312,"0,368947","5,5",Lait Juin 2019
2019-06-30,TERRILACTI,2019065026600,milk_taxe,"6,312","-0,107",0,Cotisation CNIEL
2019-06-30,TERRILACTI,2019065026600,milk_taxe,"6,312","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-06-30,TERRILACTI,2019065026600,milk_taxe,"6,312","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-07-31,TERRILACTI,2019075026600,lait_vache,5103,"0,516623","5,5",Lait Juillet 2019
2019-07-31,TERRILACTI,2019075026600,lait_vache,3112,"0,079726","5,5",Régul Bio 20 au 31 Mai
2019-07-31,TERRILACTI,2019075026600,lait_vache,6312,"0,068004","5,5",Régul Bio Juin 2019
2019-07-31,TERRILACTI,2019075026600,milk_taxe,"5,103","-0,107",0,Cotisation CNIEL
2019-07-31,TERRILACTI,2019075026600,milk_taxe,"5,103","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-07-31,TERRILACTI,2019075026600,milk_taxe,"5,103","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-08-31,TERRILACTI,2019085026600,lait_vache,6899,"0,537076","5,5",Lait Aout 2019
2019-08-31,TERRILACTI,2019085026600,milk_taxe,"6,899","-0,107",0,Cotisation CNIEL
2019-08-31,TERRILACTI,2019085026600,milk_taxe,"6,899","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-08-31,TERRILACTI,2019085026600,milk_taxe,"6,899","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2019-09-30,TERRILACTI,2019095026600,lait_vache,7579,"0,535041","5,5",Lait Septembre 2019
2019-09-30,TERRILACTI,2019095026600,milk_taxe,"7,579","-0,107",0,Cotisation CNIEL
2019-09-30,TERRILACTI,2019095026600,milk_taxe,"7,579","-1,113",20,Cotisation CNIEL (assujetti TVA 20%)
2019-09-30,TERRILACTI,2019095026600,milk_taxe,"7,579","-0,36",20,Cotisation Beurre AOP Chtes Poitou
2020-01-30,TERRILACTI,202001,lait_vache,7280,"0,55","5,5",
2020-02-27,TERRILACTI,202002,lait_vache,7280,"0,55","5,5",
2020-03-31,TERRILACTI,202003,lait_vache,7280,"0,55","5,5",
2020-04-30,TERRILACTI,202004,lait_vache,7280,"0,55","5,5",
2020-05-30,TERRILACTI,202005,lait_vache,7280,"0,55","5,5",
2020-06-30,TERRILACTI,202006,lait_vache,7280,"0,55","5,5",
2020-07-30,TERRILACTI,202007,lait_vache,7280,"0,55","5,5",
2020-08-30,TERRILACTI,202008,lait_vache,7280,"0,55","5,5",
2020-09-30,TERRILACTI,202009,lait_vache,7280,"0,55","5,5",
2020-10-30,TERRILACTI,202010,lait_vache,7280,"0,55","5,5",
2020-11-30,TERRILACTI,202011,lait_vache,7280,"0,55","5,5",
2020-12-30,TERRILACTI,202012,lait_vache,7280,"0,55","5,5",
2021-01-30,TERRILACTI,202101,lait_vache,7280,"0,55","5,5",
2021-02-27,TERRILACTI,202102,lait_vache,7280,"0,55","5,5",
2021-03-31,TERRILACTI,202103,lait_vache,7280,"0,55","5,5",
2021-04-30,TERRILACTI,202104,lait_vache,7280,"0,55","5,5",
2021-05-30,TERRILACTI,202105,lait_vache,7280,"0,55","5,5",
2021-06-30,TERRILACTI,202106,lait_vache,7280,"0,55","5,5",
2021-07-30,TERRILACTI,202107,lait_vache,7280,"0,55","5,5",
2021-08-30,TERRILACTI,202108,lait_vache,7280,"0,55","5,5",
2021-09-30,TERRILACTI,202109,lait_vache,7280,"0,55","5,5",
2021-10-30,TERRILACTI,202110,lait_vache,7280,"0,55","5,5",
2021-11-30,TERRILACTI,202111,lait_vache,7280,"0,55","5,5",
2021-12-30,TERRILACTI,202112,lait_vache,7280,"0,55","5,5",
