Annee	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Uree	Salmon	Listeria	Staph	Coliformes	Pseudom	E-coli
2024	9	1	9	NEG	4170	3430	215		0,525	0,7		287						
2024	8	1	27	NEG	3920	3400	231	1300	0,526	0,64		301						
2024	8	2	412	NEG	4040	3470	206		0,524	0,67		287						
2024	8	3		NEG	4140	3460	289		0,525	0,48		297						
2024	7	1	8	NEG	4040	3360	279	450	0,523	0,59		281						
2024	7	2		NEG	3960	3310	285		0,523	0,4		225						
2024	7	3	32	NEG	3860	3270	321		0,525	0,44		296						
2024	6	1	111	NEG	4060	3430	323	200	0,52	0,52		217						
2024	6	2	8	NEG	4030	3350	199		0,523	0,57		285						
2024	6	3		NEG	3990	3420	237		0,522	0,45		237						
2024	5	1		NEG	4090	3470	331		0,524	0,56		247						
2024	5	2	9	NEG	4060	3300	489	80	0,519	0,47		256						
2024	5	3	55	NEG	4150	3420	276		0,519	0,43		230						
2024	4	1	15	NEG	4280	3720	775		0,526	0,42		327						
2024	4	2		NEG	4470	3600	446	1300	0,522	0,4		380						
2024	4	3	16	NEG	4290	3600	518		0,522	0,42		403						
2024	3	1	32	NEG	4300	3720	346	1300	0,522	0,42		259						
2024	3	2	14	NEG	4370	3730	639	450	0,523	0,41		306						
2024	3	3		NEG	4290	3730	780		0,524	0,42		318						
2024	2	1		NEG	4230	3880	342	1300	0,525	0,43		265						
2024	2	2	135	NEG	4320	3720	555	2400	0,513	0,42		288						
2024	2	3	16	NEG	4240	3720	435		0,522	0,4		276						
2024	1	1	14	NEG	4230	3780	387	1300	0,519	0,4		219						
2024	1	2		NEG	4220	3720	500	3500	0,52	0,4		230						
2024	1	3	22	NEG	4140	3700	495		0,52	0,41		168						
2023	12	3		NEG	4320	3760	707		0,517	0,42		235						
2023	12	1	43	NEG	4190	3800	469	690	0,514	0,41		219						
2023	12	2	17		4410	3730	467		0,515	0,41		186						
2023	11	1	63	NEG	4340	3710	320	200	0,514	0,41		155						
2023	11	2	18	NEG	4320	3910	197	1100	0,52	0,42		179						
2023	11	3		NEG	4400	3870	261		0,518	0,41		212						
2023	10	1	8	NEG	4260	3560	427	790	0,521	0,42		186						
2023	10	2		NEG	4120	3550	292	790	0,517	0,41		140						
2023	10	3	51	NEG	4390	3680	335		0,516	0,5		121						
2023	9	1	32	NEG	4100	3460	468		0,523	0,41		336						
2023	9	2	5	NEG	3990	3290	246	80	0,523	0,63		368						
2023	9	3		NEG	3890	3300	333		0,519	0,59		309						
2023	8	1		NEG	3700	3360	510	1300	0,526	0,97		323						
2023	8	2	7	NEG	3720	3330	373		0,526	0,78		309						
2023	8	3	6	NEG	3990	3480	376		0,524	0,4		297						
2023	7	1	5	NEG	3570	3300	448		0,521	0,5		291						
2023	7	2		NEG	3540	3310	381	5400	0,524	0,62		298						
2023	7	3	8	NEG	3460	3320	397		0,525	0,81		366						
2023	6	1	5	NEG	3750	3250	369		0,52	0,43		305						
2023	6	2	5	NEG	3810	3270	489	200	0,519	0,55		289						
2023	6	3		NEG	3660	3260	375		0,522	0,46		324						
2023	5	1	7	NEG	4060	3530	694		0,52	0,42		228						
2023	5	2	5	NEG	3930	3660	752	180	0,519	0,41		233						
2023	5	3		NEG	4080	3540	604		0,523	0,42		321						
2023	4	1	37	NEG	4000	3530	475		0,52	0,43		306						
2023	4	2		NEG	4010	3470	703	80	0,523	0,42		403						
2023	4	3	6	NEG	3910	3460	512		0,521	0,41		224						
2023	3	1	5	NEG	4110	3460	373	790	0,523	0,49		326						
2023	3	2		NEG	4180	3590	565	200	0,518	0,43		247						
2023	3	3	11	NEG	4110	3540	513		0,52	0,41		286						
2023	2	3		NEG	4180	3590	665		0,52	0,43		288						
2023	2	1	12	NEG	4260	3590	701	3500	0,524	0,42		330						
2023	2	2	22	NEG	4170	3590	702		0,518	0,41		282						
2023	1	1	5	NEG	4220	3600	276	1100	0,517	0,47		265						
2023	1	2	21	NEG	4240	3550	611	2400	0,519	0,4		309						
2023	1	3		NEG	4260	3530	615		0,52	0,42		325						
2022	12	1		NEG	4550	3830	434	1300	0,52	0,46		274						
2022	12	2	46	NEG	4350	3730	444	930	0,519	0,41		300						
2022	12	3	38	NEG	4230	3580	223		0,519	0,43		297						
2022	11	1		NEG	4460	3810	328	2400	0,518	0,4		249						
2022	11	2	11	NEG	4460	3700	198	1700	0,522	0,4		335						
2022	11	3	19	NEG	4560	3790	461		0,521	0,42		276						
2022	10	1	17	NEG	4370	3710	254	80	0,519	0,41		240						
2022	10	2		NEG	4520	3850	260	1300	0,519	0,42		205						
2022	10	3	15	NEG	4580	3800	352		0,52	0,41		252						
2022	9	1	7	NEG	4190	3440	213	180	0,52	0,43		222						
2022	9	2	12	NEG	4380	3680	212		0,52	0,41		203						
2022	9	3		NEG	4300	3640	280		0,516			211						
2022	8	1	15	NEG	3900	3340	248	80	0,522	0,44		224						
2022	8	2	12	NEG	3950	3360	379		0,523	0,41		201						
2022	8	3		NEG	4020	3400	516		0,523	0,42		207						
2022	7	1	21	NEG	4040	3380	238	200	0,521	0,42		231						
2022	7	2	5	NEG	3850	3310	264		0,524	0,42		229						
2022	7	3		NEG	3910	3300	196		0,524	0,41		235						
2022	6	1	16	NEG	3980	3350	219		0,52	0,4		325						
2022	6	2	11	NEG	4040	3390	197	410	0,518	0,42		146						
2022	6	3		NEG	4130	3400	190		0,525	0,41		229						
2022	5	1	5	NEG	4040	3450	199	410	0,516	0,42		167						
2022	5	2	5	NEG	4000	3460	227		0,515	0,43		229						
2022	5	3		NEG	4040	3550	237		0,516	0,42		195						
2022	4	1	5	NEG	4210	3350	277	790	0,519	0,4		264						
2022	4	2		NEG	4110	3430	190		0,518	0,41		224						
2022	4	3		NEG	4280	3610	147		0,517	0,42		173						
2022	3	1	25	NEG	4110	3260	225	200	0,517			174						
2022	3	2		NEG	4030	3250	135	1700	0,522	0,42		277						
2022	3	3	10	NEG	4310	3330	192		0,522	0,42		338						
2022	2	1	8	NEG	4070	3490	305	1300	0,519	0,47		289						
2022	2	2		NEG	4150	3420	351	450	0,521	0,41		291						
2022	2	3	8	NEG	4000	3280	346		0,519	0,48		274						
2022	1	1		NEG	4310	3630	294	2400	0,521	0,42		268						
2022	1	2	17	NEG	4350	3470	508	2400	0,517	0,41		279						
2022	1	3	5	NEG	4280	3520	224		0,518	0,42		261						
2021	12	1		NEG	4540	3670	200	2200	0,521	0,42		222						
2021	12	2	22	NEG	4510	3640	385	1300	0,517	0,42		219						
2021	12	3	22	NEG	4530	3730	292		0,513	0,42		231						
2021	11	1	8	NEG	4420	3690	565	3500	0,523	0,41		283						
2021	11	2		NEG	4480	3700	401	1700	0,521	0,4		284						
2021	11	3	16	NEG	4400	3610	509		0,519	0,43		204						
2021	10	1	31	NEG	4720	3720	219	2200	0,516	0,57		314						
2021	10	2	25	NEG	4390	3640	556	3500	0,516	0,41		266						
2021	10	3		NEG	4510	3670	523		0,52	0,42		258						
2021	9	1	10	NEG	4000	3440	655		0,517	0,58		281						
2021	9	2	5	NEG	4260	3490	432	450	0,519	0,66		250						
2021	9	3		NEG	4350	3610	220		0,514	0,41		237						
2021	8	1	14	NEG	3830	3270	902	450	0,52	0,5		220						
2021	8	2	56	NEG	4040	3370	662		0,522	0,62		299						
2021	8	3		NEG	3940	3350	588		0,521	0,46		265						
2021	7	1	6	NEG	3730	3320	595		0,52			279						
2021	7	2	52	NEG	3980	3330	499	200	0,523			335						
2021	7	3		NEG	4180	3310	894		0,523			316						
2021	6	1	5	NEG	3950	3200	521		0,518			303						
2021	6	2	5	NEG	4220	3300	523	200	0,523	0,43		299						
2021	6	3		NEG	3960	3320	571		0,522			335						
2021	5	1		NEG	4400	3620	489	1700	0,52			174						
2021	5	2	7	NEG	4430	3530	417		0,521			262						
2021	5	3	5	NEG	4620	3460	482		0,523			209						
2021	4	1		NEG	4390	3660	824	450	0,522			207						
2021	4	2	14	NEG	4360	3680	694		0,521			214						
2021	4	3	12	NEG	4350	3830	387		0,521			174						
2021	3	1		NEG	4500	3730	671	1300	0,518			233						
2021	3	2	9	NEG	4500	3690	378	1300	0,519	0,35		221						
